Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,x,y
PKI,PerkinElmer,Health Care,47.62,0.59,25.4,1.88,18.75,39.5,54.52,5.36,0.42053,2.36,2.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PKI,1.9749585752084888,16.58677479046504
PRGO,Perrigo,Health Care,129.15,0.47,,-0.23,73.31,122.62,215.73,18.91,1.44,3.45,1.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PRGO,-21.97071526330347,-15.399166830576725
PFE,Pfizer Inc.,Health Care,30.59,3.99,27.51,1.11,10.82,28.25,36.46,188.83,17.86,3.79,2.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFE,-15.74353241967251,4.451608222563864
PCG,PG&E Corp.,Utilities,58.34,3.22,32.59,1.79,33.69,47.33,58.46,28.75,4.07,1.68,1.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCG,-38.295888868787415,-11.625382195637036
PM,Philip Morris International,Consumer Staples,92.45,4.41,20.92,4.42,-8.55,75.27,92.85,143.24,11.45,5.29,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PM,-4.953052817892237,-5.5903687033564875
PSX,Phillips 66,Energy,78.76,2.77,10.19,7.73,43.48,69.79,94.12,41.66,5.63,0.49,1.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSX,29.24083073761652,8.35379296067065
PNW,Pinnacle West Capital,Utilities,71.21,3.59,18.17,3.92,41.3,56.01,71.4,7.9,1.43,2.23,1.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNW,-35.63340077127127,-15.342431428575699
PXD,Pioneer Natural Resources,Energy,120.49,0.06,,-1.84,56.21,103.5,181.97,17.95,1.41,5.66,2.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PXD,11.632937093561695,-27.691560563835
PBI,Pitney-Bowes,Industrials,17.85,4.23,8.81,2.03,0.91,16.24,24.17,3.5,0.7993300000000001,0.97,19.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PBI,12.867510230654853,-8.006000636336836
PNC,PNC Financial Services,Financials,82.94,2.42,11.24,7.38,81.86,77.67,100.52,41.8,0.0,2.77,1.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNC,29.229397951727034,15.810935457605328
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,91.92,2.2,16.65,5.52,45.29,82.15,141.08,7.72,1.14,1.02,1.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RL,-25.751800039002948,-17.517098829582473
PPG,PPG Industries,Materials,97.01,1.49,18.86,5.14,18.67,82.93,118.95,25.88,2.57,1.66,5.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPG,23.86416845145635,16.912936234308045
PPL,PPL Corp.,Utilities,36.35,4.22,36.31,1.0,14.72,29.18,37.23,24.49,3.77,3.16,2.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPL,-37.12027256168733,-10.940868953029987
PX,Praxair Inc.,Materials,102.61,2.88,19.18,5.35,15.38,95.6,130.38,29.27,3.59,2.7,6.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PX,17.09556092352622,-5.528035723346681
PCLN,Priceline.com Inc,Consumer Discretionary,1263.41,,25.55,49.45,177.29,954.02,1476.52,62.69,3.5,6.8,7.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCLN,-5.405078388578005,8.985623965785438
PFG,Principal Financial Group,Financials,37.74,4.07,9.3,4.06,31.95,33.09,58.02,11.01,1.65,0.91,1.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFG,27.393620701963354,18.60026086543387
PG,Procter & Gamble,Consumer Staples,82.34,3.23,27.89,2.95,22.39,65.02,85.44,222.69,18.67,3.04,3.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PG,-3.5540763048269963,-5.1807217870685385
PGR,Progressive Corp.,Financials,32.17,2.77,14.96,2.15,12.49,25.92,33.95,18.77,2.19,0.89,2.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PGR,12.425323104369367,2.5393990132030577
PLD,Prologis,Financials,39.07,4.24,23.87,1.64,27.85,35.25,44.96,20.46,1.4,8.48,1.37,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PLD,3.0770357348749973,29.616131921832878
PRU,Prudential Financial,Financials,66.07,4.24,5.43,12.17,93.36,57.19,92.6,29.65,8.81,0.58,0.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PRU,27.878000404122954,12.55607448378176
PEG,Public Serv. Enterprise Inc.,Utilities,43.74,3.74,13.25,3.3,25.59,36.8,44.18,22.13,4.29,2.11,1.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEG,-36.26726093827777,-9.72866592771895
PSA,Public Storage,Financials,255.1,2.68,42.03,6.07,29.58,182.08,257.98,44.11,1.71,17.77,8.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSA,-24.127701138752197,1.010803782826731
PHM,Pulte Homes Inc.,Consumer Discretionary,17.34,2.09,12.71,1.36,13.63,14.61,22.95,6.05,0.8359,1.0,1.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PHM,20.301529214288255,8.939736763295693
PVH,PVH Corp.,Consumer Discretionary,80.25,0.2,13.67,5.87,55.38,64.16,120.67,6.58,0.9469,0.79,1.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PVH,-6.374131644150393,-15.277508735883012
