,x,y
CPGX,7.707479447342214,-23.482642789275506
CMCSA,1.4894241009015008,-6.062248769641616
CMA,33.3677612876272,9.396305472982833
CAG,4.10675542015327,23.830437428108734
CXO,11.397586566235976,-26.438114905436716
COP,10.056226857556586,-27.084733237733914
CNX,1.0631810267871176,-28.948007341269147
ED,-34.539647998828194,-18.62865619546747
STZ,-26.472446546949175,0.9911678271023208
GLW,12.480132446888707,-11.66541778295458
COST,-29.654155555900086,-5.925797949880426
CCI,6.7786626383699105,27.50305773858767
CSRA,-23.299485794310133,-20.743080145129152
CSX,13.015556190637565,-10.937940018536587
CMI,1.5120088111719436,-23.217419354204605
CVS,-7.535718652921434,21.09013037524187
DHI,19.267993520392217,19.729646073364638
DHR,23.145657557825533,14.311359736988397
DRI,-22.24930441607865,-10.702158043374888
DVA,3.3737765360303076,14.069738710335232
DE,12.975306418841,-13.851134079077584
DLPH,10.6014688758079,17.317407037935773
DAL,-2.6617554687744587,10.179923131108099
XRAY,-18.882477957827106,4.777848098994171
DVN,8.457907953230242,-26.935224773675145
DO,4.74793444523849,-26.852723712699405
DFS,6.793503230141465,15.63987967653366
DISCA,25.238795675287328,-0.3031586248522554
DISCK,25.039343200693228,-0.24838640140198184
DG,-22.02532364967482,-13.395454252719949
DLTR,-25.430521243014994,-2.869178651333119
D,-35.07733620937581,-10.30343505936492
DOV,18.90844244120237,-16.37570933635948
DOW,-4.082499239048707,-21.22569515187266
DPS,-29.98088849378553,-6.950483310030428
DTE,-38.59838652324357,-12.699231900302637
DD,-4.073148033729052,-21.335412504884818
DUK,-34.53582586111089,-15.773687620815258
DNB,17.922893963054243,15.663215620848899
ETFC,26.183215348435652,13.826557707454192
EMN,18.46258768003891,-13.58392779884058
ETN,20.87983727669559,-11.804872733132372
EBAY,-15.786925580247486,-1.6104168605061233
ECL,23.36813279609221,8.677211533646478
EIX,-34.200194259619074,-14.370240003853166
EW,-24.537033484790072,-21.882426050498932
EA,-29.59558724879119,-0.5080651594292332
EMC,10.085669547736513,-4.839337692149859
EMR,21.41519875271011,-10.32908338161185
ENDP,-20.43587188572555,-14.65075600440199
ESV,3.0665602966074217,-26.601417812425073
ETR,-35.781911578937816,-12.193907085823167
EOG,9.252026699794916,-28.00528719753557
EQT,0.29738818242061626,-30.614783212331904
EFX,16.588810092964728,20.232345684718315
EQIX,-22.19903249610679,4.762892062738817
EQR,-19.71486486203765,-8.299837300933527
ESS,0.5404250458017231,31.989079174657814
EL,-2.510801375276272,-4.366630378449498
ES,-36.54239217169737,-14.13925962219074
EXC,-6.807643629862369,-20.611055384726612
EXPE,-23.77569217346499,8.189193809961429
EXPD,15.06936383246675,0.8707112119874231
ESRX,-7.6868790293322355,10.600117891981103
EXR,-24.560684200573778,-0.03665481755331266
XOM,12.158613551926313,-21.09653874419212
FFIV,-1.6907195537062158,29.91330547398314
FB,-28.63086030057231,3.4786437226253666
FAST,11.30062762329519,-15.729483369209593
FRT,4.735651874401959,32.902488507499434
FDX,14.685386691058438,-1.7595557810997497
FIS,14.713443882677067,22.215542818225572
FITB,33.57309999199533,12.716896454916961
FSLR,-16.616450813121848,-8.1527212677905
FE,-35.899736014171644,-11.12938948635439
FISV,16.345304986944136,23.310592661975846
FLIR,-13.540748224715085,-6.271738234670037
FLS,19.167653021050494,-15.398210290082503
FLR,17.66160416608937,-10.319300416415796
FMC,18.36766899422832,-12.153666445869796
FTI,14.628930273273111,-24.186665252676445
F,16.65739654449989,9.434883746926626
BEN,5.402480849918342,-4.202451727965008
FCX,4.383563558016168,-22.860668446555067
FTR,-7.488967139340216,-18.00950245557969
GME,-19.49948360390957,-20.330899301405097
GPS,-16.586403302339807,-20.736945799586845
GRMN,6.621867959882829,-8.5298821608168
GD,7.931854616493587,20.846410293904317
GE,23.190445864693206,7.272824669882353
GGP,-10.919776480798381,-12.54305430967721
GIS,-5.78931993307396,-2.7896993460683994
GM,8.014361408277072,0.42229033001079214
GPC,16.772085145285992,1.0727123392080486
GILD,-12.30758434802206,0.4897922412396586
GS,29.19275895426608,18.21422164403329
GT,10.162649464973226,16.94236543980351
GWW,10.657366489817997,-16.793093668293746
HAL,13.523150383092538,-23.370837993944296
HBI,-13.339470949047035,10.833796634595103
HOG,7.783100834017924,-8.317363445462194
HAR,23.640434918637105,3.2728429875884926
HRS,-3.0238460133519727,6.1763710971609305
HIG,31.21436603616147,17.938829378233024
HAS,-15.274149750008515,-20.179307864026182
HCA,-1.1440852114422333,-13.021262150875783
HCP,-10.382266409718934,-15.53983384444955
HP,11.603109074515537,-23.989890462963945
HSIC,-9.417291372296269,18.046218071701926
HES,10.608888811312749,-25.424834420578733
HPE,6.4231283399507655,-5.547105336937013
HD,-5.008037524760409,23.141653015790418
HON,14.814993147449599,5.183639438724568
HRL,-28.557441292112067,-22.222331686860695
HST,22.905647800901086,1.3027367252088176
HPQ,-0.9508971083569129,-16.522319984524223
HUM,-10.787320625803256,8.49207649003029
HBAN,4.144877475739387,-0.7200310150590726
ITW,18.4654921499947,-1.120427001563604
ILMN,-6.239125574336354,12.249409177021102
IR,23.070218003296574,-3.648560285517149
INTC,12.131182300691068,8.923520954174988
ICE,-27.188208203862935,-3.4387105883873814
IBM,2.4599089189758785,-5.400934011537183
IP,14.32516882099619,-14.6603439661436
IPG,10.804047281949304,25.50941610938785
IFF,10.556233437368242,1.0284806334091656
INTU,6.252302492467694,24.590725469688667
ISRG,-13.01098110673164,6.061019109854676
IVZ,25.30533814905518,18.630750095163755
IRM,14.702885994318343,-2.9931073815180453
JBHT,19.221281393701314,-5.789408820123243
JEC,17.067407907642444,-8.911902351887843
JNJ,5.4406458218399765,27.040324403410548
JCI,21.51874688784355,-3.031408916078853
JPM,30.302217198303772,16.64794599623636
JNPR,-16.512507825127564,-1.525844267920135
KSU,13.997557845008323,-10.740834034665658
K,-28.258639833454623,-9.39435366472666
GMCR,-29.97122912665236,-23.471037042944445
KEY,31.349625162810238,12.70238504330494
