i	j	val
3	20	0.917808219178
3	21	0.945205479452
3	22	0.0547945205479
3	23	0.0547945205479
3	24	0.123287671233
3	25	0.0821917808219
3	26	0.0684931506849
3	27	0.86301369863
3	28	0.712328767123
3	29	0.72602739726
3	30	0.657534246575
3	31	0.808219178082
3	32	0.821917808219
3	33	0.849315068493
3	34	0.890410958904
3	35	0.0547945205479
3	36	0.0547945205479
3	37	0.0547945205479
3	38	0.0958904109589
3	39	0.72602739726
3	40	0.0958904109589
3	41	0.178082191781
3	42	0.0684931506849
3	43	0.13698630137
3	44	0.0547945205479
3	45	0.890410958904
3	46	0.904109589041
3	47	0.0547945205479
3	48	0.945205479452
3	49	0.0547945205479
3	50	0.0684931506849
3	51	0.164383561644
3	52	0.13698630137
3	53	0.0547945205479
3	54	0.0547945205479
3	55	0.0684931506849
3	56	0.260273972603
3	57	0.58904109589
3	58	0.58904109589
3	59	0.0547945205479
3	60	0.904109589041
3	61	0.904109589041
3	62	0.86301369863
3	63	0.780821917808
3	64	0.890410958904
3	65	0.931506849315
3	66	0.808219178082
3	67	0.698630136986
3	68	0.698630136986
3	69	0.86301369863
3	70	0.739726027397
3	71	0.0547945205479
3	72	0.0547945205479
3	73	0.684931506849
3	74	0.205479452055
3	75	0.945205479452
3	76	0.794520547945
3	77	0.0821917808219
3	78	0.219178082192
3	79	0.0547945205479
3	80	0.109589041096
3	81	0.109589041096
3	82	0.0547945205479
3	83	0.917808219178
3	84	0.0547945205479
3	85	0.0547945205479
3	86	0.0547945205479
3	87	0.794520547945
3	88	0.876712328767
3	89	0.945205479452
3	90	0.917808219178
3	91	0.945205479452
3	92	0.808219178082
3	93	0.931506849315
3	94	0.945205479452
3	95	0.0684931506849
3	96	0.821917808219
3	97	0.917808219178
3	98	0.904109589041
3	99	0.876712328767
4	0	0.214285714286
4	1	0.809523809524
4	2	0.821428571429
4	3	0.714285714286
4	4	1.0
4	5	0.190476190476
4	6	0.738095238095
4	7	0.702380952381
4	8	0.190476190476
4	9	0.797619047619
4	10	0.25
4	11	0.154761904762
4	12	0.238095238095
4	13	0.785714285714
4	14	0.261904761905
4	15	0.47619047619
4	16	0.214285714286
4	17	0.75
4	18	0.214285714286
4	19	0.797619047619
